"Actions","פעולות"
"An error occurred while marking notification as read.","An error occurred while marking notification as read."
"An error occurred while marking the messages as read.","An error occurred while marking the messages as read."
"An error occurred while removing messages.","An error occurred while removing messages."
"An error occurred while removing the message.","An error occurred while removing the message."
"Are you sure?","האם אתה בטוח?"
"Date Added","תאריך הוספה"
"Last Update","Last Update"
"Mark as Read","Mark as Read"
"Mark as read","Mark as read"
"Message","הודעה"
"Messages Inbox","תיבת ההודעות"
"Notifications","הודעות"
"Please select messages.","Please select messages."
"Read Details","Read Details"
"Remove","הסר"
"Severity","Severity"
"Show List","Show List"
"Show Toolbar","Show Toolbar"
"The message has been marked as read.","The message has been marked as read."
"The message has been removed.","The message has been removed."
"Total of %d record(s) have been marked as read.","Total of %d record(s) have been marked as read."
"Total of %d record(s) have been removed.","Total of %d record(s) have been removed."
"Unable to proceed. Please, try again.","Unable to proceed. Please, try again."
"Update Frequency","Update Frequency"
"Use HTTPS to Get Feed","Use HTTPS to Get Feed"
"Wrong message type","Wrong message type"
"critical","critical"
"major","major"
"minor","minor"
"notice","הערה"
