"* Required Fields","*שדות חובה"
"-- Select --","-- Select --"
"Add New Option","הוסף אפשרות חדשה"
"Add Selection","הוסף בחירה"
"As Low as","As Low as"
"As low as","החל מ"
"Bundle Items","פרטי באנדל"
"Bundle Product","מוצר באנדל"
"Buy %1$s with %2$s discount each","קנה %1$ עם %2$ הנחה לכל אחד"
"Catalog Product View (Bundle)","Catalog Product View (Bundle)"
"Checkbox","תיבת סימון"
"Choose a selection...","בחר מהרשימה..."
"Close","סגור"
"Default","ברירת מחדל"
"Default Qty","כמות ברירת מחדל"
"Default Title","כותרת ברירת מחדל"
"Drop-down","רשימת בחירה"
"Dynamic","דינאמי"
"Excl. Tax","לא כולל מע""מ"
"Fixed","קבוע"
"From","מ"
"From:","מ:"
"Gift Message","הודעת ברכה"
"Incl. Tax","כולל מע""מ"
"Input Type","סוג קלט"
"Is Required","הינו חובה"
"Message:","הודעה:"
"Multiple Select","בחירה מרובה"
"N/A","N/A"
"No options of this product are available.","אין אפשריות זמינות למוצר זה"
"None","ללא"
"Percent","אחוז"
"Percent Discount","אחוז הנחה"
"Please Select Products to Add","אנא בחר מוצרים להוספה"
"Please enter search conditions to view products.","אנא הכנס תנאי חיפוש לצפיה במוצרים."
"Please select options for product.","אנא בחר אפשרויות למוצר זה."
"Please specify product option(s).","Please specify product option(s)."
"Position","מיקום"
"Price Range","טווח מחירים"
"Price Type","סוג מחיר"
"Price as configured","מחיר לתצורה שנבחרה"
"Qty:","כמות:"
"Radio Buttons","Radio Buttons"
"Required options are not selected.","Required options are not selected."
"Selected required options are not available.","Selected required options are not available."
"Separately","בנפרד"
"Ship Bundle Items","Ship Bundle Items"
"Shipment","משלוח"
"Store View Title","כותרת של תצוגת חנות"
"There is no defined renderer for ""%s"" option type.","There is no defined renderer for ""%s"" option type."
"This product is also part of bundle(s)","מוצר זה גם חלק מהבאנדל(ים)"
"To","עד"
"To:","עד:"
"Together","יחד"
"Use Default Value","השתמש בערך ברירת המחדל"
"User Defined Qty","כמות שנקבעה על ידי משתמש"
