"Access denied.","Accesso negato."
"Can not find webservice adapter.","Impossibile trovare adattatore webservice."
"Client Session Timeout (sec.)","Timeout sessione cliente (sec.)"
"Default Response Charset","Set di caratteri di risposta predefinito"
"Email","Email"
"Enable WSDL Cache","Abilita Cache WSDL"
"General Settings","Impostazioni generali"
"Invalid webservice adapter specified.","Adattatore webservice specificato non valido."
"Invalid webservice handler specified.","Gestore webservice specificato non valido."
"Magento Core API","Magento Core API"
"Magento Core API Section","Sezione Magento Core API"
"SOAP/XML-RPC - Roles","SOAP/XML-RPC – Ruoli"
"SOAP/XML-RPC - Users","SOAP/XML-RPC – Utenti"
"Unable to login.","Impossibile effettuare l\'accesso."
"User Name","Nome utente"
"WS-I Compliance","WS-I Compliance"
"Web Services","Servizi web"
"Your account has been deactivated.","Il tuo account è stato disattivato."
